duration,pass_aerial_won,pass_angle,pass_body_part_name,pass_cross,pass_cut_back,pass_deflected,pass_height_name,pass_length,pass_switch,pass_through_ball,play_pattern_name,shot_aerial_won,shot_body_part_name,shot_first_time,shot_one_on_one,shot_open_goal,shot_technique_name,under_pressure,goal,distance,angle,build_up_duration,direct_free_kick,shot_cone,num_players_in_shot_cone,distance_to_nearest_opponent,pass_angle_na,pass_length_na,distance_to_nearest_opponent_na
0.36,0,0.0,,0,0,0,,0.0,0,0,From Free Kick,0,other,1,0,0,Normal,0,0,17.4928556845359,0.5404195002705842,-0.36,1,60.0,1,9.219544457292887,True,True,False
1.92,0,0.0,,0,0,0,,0.0,0,0,Regular Play,0,other,1,0,0,Overhead Kick,0,0,17.46424919657298,0.4124104415973873,3.16,0,64.0,1,2.23606797749979,True,True,False
3.053,0,0.0,,0,0,0,,0.0,0,0,Regular Play,0,other,0,0,0,Normal,0,0,45.69463863518345,0.4048917862850834,16.067,0,168.0,0,9.0,True,True,False
0.453,0,0.0,,0,0,0,,0.0,0,0,Regular Play,0,other,1,0,0,Volley,0,0,20.518284528683193,0.7509290623979403,22.44,0,60.0,1,11.180339887498949,True,True,False
0.933,0,0.0,,0,0,0,,0.0,0,0,Regular Play,0,other,1,0,0,Volley,0,0,17.804493814764857,0.9048270894157867,51.586999999999996,0,44.0,0,10.198039027185569,True,True,False
0.453,0,0.0,,0,0,0,,0.0,0,0,From Counter,0,other,1,0,0,Normal,0,0,13.038404810405298,0.5667292175235064,11.187,0,44.0,0,10.04987562112089,True,True,False
0.293,0,0.0,,0,0,0,,0.0,0,0,From Free Kick,0,other,0,0,0,Volley,0,0,16.1245154965971,0.12435499454676144,-0.293,1,64.0,0,10.04987562112089,True,True,False
1.053,0,0.0,,0,0,0,,0.0,0,0,From Throw In,0,other,0,0,0,Normal,1,0,15.0,0.6435011087932844,41.34700000000001,0,48.0,0,5.385164807134504,True,True,False
1.053,0,0.0,,0,0,0,,0.0,0,0,From Free Kick,0,other,0,0,0,Normal,0,0,27.85677655436824,0.3671738338182192,1.907,1,104.0,1,9.899494936611665,True,True,False
0.88,0,0.0,,0,0,0,,0.0,0,0,Regular Play,0,other,0,0,0,Normal,0,0,25.238858928247925,0.5880026035475675,9.399999999999999,0,84.0,0,9.055385138137417,True,True,False
0.88,0,0.0,,0,0,0,,0.0,0,0,Regular Play,0,other,0,0,0,Normal,0,0,24.166091947189145,0.4266274931268761,0.8549999999999999,0,88.0,0,12.041594578792296,True,True,False
1.04,0,0.0,,0,0,0,,0.0,0,0,Regular Play,0,other,0,0,0,Normal,0,0,27.80287754891569,0.9129077216126866,6.84,0,68.0,0,20.09975124224178,True,True,False
1.333,0,0.0,,0,0,0,,0.0,0,0,Regular Play,0,other,0,0,0,Normal,0,0,23.194827009486403,0.1297025371559121,3.7199999999999998,0,92.0,1,2.8284271247461903,True,True,False
0.16,0,0.0,,0,0,0,,0.0,0,0,From Free Kick,0,other,1,0,0,Normal,0,0,15.132745950421556,0.13255153229667402,16.32,1,60.0,0,7.0710678118654755,True,True,False
0.187,0,0.0,,0,0,0,,0.0,0,0,Regular Play,0,other,0,0,0,Normal,0,0,31.016124838541646,0.3625442372645076,-0.187,0,116.0,1,11.180339887498949,True,True,False
0.773,0,0.0,,0,0,0,,0.0,0,0,From Corner,0,other,0,0,0,Normal,0,0,33.0,0.0,92.10700000000001,0,132.0,1,10.04987562112089,True,True,False
